year,product,num_papers
2014,P-coumaric acid,0
2015,P-coumaric acid,3
2016,P-coumaric acid,2
2017,P-coumaric acid,3
2018,P-coumaric acid,1
2019,P-coumaric acid,5
2020,P-coumaric acid,7
2021,P-coumaric acid,5
2022,P-coumaric acid,6
2023,P-coumaric acid,11
2000,Butyric acid,0
2001,Butyric acid,0
2002,Butyric acid,0
2003,Butyric acid,0
2004,Butyric acid,0
2005,Butyric acid,1
2006,Butyric acid,0
2007,Butyric acid,0
2008,Butyric acid,0
2009,Butyric acid,0
2010,Butyric acid,1
2011,Butyric acid,0
2012,Butyric acid,1
2013,Butyric acid,1
2014,Butyric acid,2
2015,Butyric acid,3
2016,Butyric acid,3
2017,Butyric acid,6
2018,Butyric acid,7
2019,Butyric acid,5
2020,Butyric acid,4
2021,Butyric acid,7
2022,Butyric acid,4
2023,Butyric acid,2
2000,Hydrogen,0
2001,Hydrogen,0
2002,Hydrogen,0
2003,Hydrogen,0
2004,Hydrogen,0
2005,Hydrogen,0
2006,Hydrogen,0
2007,Hydrogen,1
2008,Hydrogen,2
2009,Hydrogen,2
2010,Hydrogen,5
2011,Hydrogen,3
2012,Hydrogen,7
2013,Hydrogen,1
2014,Hydrogen,4
2015,Hydrogen,4
2016,Hydrogen,6
2017,Hydrogen,2
2018,Hydrogen,1
2019,Hydrogen,1
2020,Hydrogen,4
2021,Hydrogen,3
2022,Hydrogen,1
2023,Hydrogen,0
